Date,Open,High,Low,Close,Adj Close,Volume
2020-01-20,2261.39990234375,2277.22998046875,2258.090087890625,2262.639892578125,2262.639892578125,545500
2020-01-21,2259.81005859375,2266.31005859375,2238.25,2239.68994140625,2239.68994140625,770300
2020-01-22,2238.530029296875,2269.27001953125,2235.1298828125,2267.25,2267.25,608500
2020-01-23,2254.5400390625,2260.6298828125,2241.93994140625,2246.1298828125,2246.1298828125,509600
2020-01-28,2192.219970703125,2199.929931640625,2166.22998046875,2176.719970703125,2176.719970703125,808500
2020-01-29,2188.179931640625,2195.449951171875,2172.330078125,2185.280029296875,2185.280029296875,692300
2020-01-30,2181.5400390625,2187.449951171875,2139.719970703125,2148.0,2148.0,602700
2020-01-31,2160.60009765625,2167.22998046875,2119.010009765625,2119.010009765625,2119.010009765625,710500
2020-02-03,2086.610107421875,2126.72998046875,2082.739990234375,2118.8798828125,2118.8798828125,836700
2020-02-04,2121.219970703125,2162.320068359375,2120.530029296875,2157.89990234375,2157.89990234375,624600
2020-02-05,2177.260009765625,2181.52001953125,2154.8798828125,2165.6298828125,2165.6298828125,574400
2020-02-06,2184.77001953125,2229.989990234375,2182.25,2227.93994140625,2227.93994140625,695000
2020-02-07,2221.489990234375,2223.919921875,2198.139892578125,2211.949951171875,2211.949951171875,800200
2020-02-10,2185.6298828125,2203.389892578125,2180.510009765625,2201.070068359375,2201.070068359375,609600
2020-02-11,2213.5,2233.320068359375,2211.25,2223.1201171875,2223.1201171875,526000
2020-02-12,2225.949951171875,2242.239990234375,2214.77001953125,2238.3798828125,2238.3798828125,632500
2020-02-13,2245.719970703125,2255.489990234375,2230.300048828125,2232.9599609375,2232.9599609375,638700
2020-02-14,2232.7099609375,2251.5,2221.89990234375,2243.590087890625,2243.590087890625,597200
2020-02-17,2243.070068359375,2250.050048828125,2230.260009765625,2242.169921875,2242.169921875,458200
2020-02-18,2225.97998046875,2232.929931640625,2205.2099609375,2208.8798828125,2208.8798828125,470400
2020-02-19,2222.510009765625,2226.0,2191.199951171875,2210.340087890625,2210.340087890625,590800
2020-02-20,2223.550048828125,2228.179931640625,2186.719970703125,2195.5,2195.5,709600
2020-02-21,2165.64990234375,2184.429931640625,2160.280029296875,2162.840087890625,2162.840087890625,635500
2020-02-24,2114.0400390625,2120.06005859375,2079.030029296875,2079.0400390625,2079.0400390625,948600
2020-02-25,2075.550048828125,2105.489990234375,2071.5,2103.610107421875,2103.610107421875,1565600
