키워드,언론사,기사명,날짜,URL
노컷뉴스,코로나19 2486명 확진·8일째 '요일 최다'…거리두기 2주 재연장(종합),2021-10-02,https://www.nocutnews.co.kr/news/5632719,해외 코로나 현황
CBC뉴스,"[코로나19 발생현황] 10월 4일 0시 기준, 신규 확진자 1,673명",2021-10-05,http://www.cbci.co.kr/news/articleView.html?idxno=419759,해외 코로나 현황
뉴스1,"미접종자 예약률 6.1%…질병청 ""백신패스, 위드코로나 안전장치""(종합)",2021-09-30,https://www.news1.kr/articles/?4447345,해외 코로나 현황
글로벌경제,"[코로나19 발생현황] 신규확진 1673명, 연휴 영향에 11일만에 2천명 아래로",2021-10-04,http://www.getnews.co.kr/news/articleView.html?idxno=552947,해외 코로나 현황
쿠키뉴스,코로나19 신규 확진 1673명… 11일 만에 2000명대 아래,2021-10-05,http://www.kukinews.com/newsView/kuk202110040011,해외 코로나 현황
뉴스웍스,[코로나 현황] 신규 확진 1673명…11일만에 2000명대 아래로,2021-10-05,http://www.newsworks.co.kr/news/articleView.html?idxno=573966,해외 코로나 현황
이데일리,내년도 코로나19 치료제·백신개발에 5265억 지원,2021-10-01,http://www.edaily.co.kr/news/newspath.asp?newsid=02587926629185368,해외 코로나 현황
위클리오늘,해외예방접종완료자도 쿠브 통해 접종이력 확인 가능,2021-10-06,http://www.weeklytoday.com/news/articleView.html?idxno=410440,해외 코로나 현황
뉴스1,[그래픽] 코로나19 확진자 지역별 현황(2일),2021-10-03,https://www.news1.kr/photos/view/?4997612,해외 코로나 현황
메디컬월드뉴스,"국내 주요 시도별 코로나19 발생 현황은?…10월 6일 신규 확진자 2,028명, 총...",2021-10-06,http://medicalworldnews.co.kr/news/view.php?idx=1510945248,해외 코로나 현황
뉴스1,[그래픽] 코로나19 확진자 지역별 현황(3일),2021-10-04,https://www.news1.kr/photos/view/?4998036,해외 코로나 현황
비즈니스포스트,"국내 코로나19 하루 확진 다시 2천 명대로, 수도권이 74.7% 차지",2021-10-06,https://www.businesspost.co.kr/BP?command=article_view&num=253151,해외 코로나 현황
뉴스1,[그래픽] 코로나19 확진자 지역별 현황(1일),2021-10-02,https://www.news1.kr/photos/view/?4996150,해외 코로나 현황
메디컬월드뉴스,10월 5일 0시 기준 국내 주요 지역 권역별 코로나19 집단감염 발생현황은?,2021-10-06,http://medicalworldnews.co.kr/news/view.php?idx=1510945213,해외 코로나 현황
비즈니스포스트,"국내 코로나19 하루 확진 1575명으로 줄어, 이틀째 1천 명대로 불안",2021-10-06,https://www.businesspost.co.kr/BP?command=article_view&num=252909,해외 코로나 현황
MTN,코로나19 신규 확진자 2248명…88일째 네 자릿수,2021-10-03,https://news.mtn.co.kr/newscenter/news_viewer.mtn?gidx=2021100210031581480,해외 코로나 현황
이뉴스투데이,"경북도, 코로나19 60명 확진…13곳서 발생",2021-10-02,http://www.enewstoday.co.kr/news/articleView.html?idxno=1515777,해외 코로나 현황
경북신문,[전문] 대구 `코로나19` 신규 확진자 68명 발생,2021-10-05,http://www.kbsm.net/default/index_view_page.php?idx=325014&part_idx=320,해외 코로나 현황
국제뉴스,[속보]코로나19 실시간 확진자수 '또 2천명' 육박,2021-10-03,http://www.gukjenews.com/news/articleView.html?idxno=2320348,해외 코로나 현황
뉴스1,[그래픽] 코로나19 확진자 지역별 현황(28일),2021.09.28.,https://www.news1.kr/photos/view/?4989821,해외 코로나 현황
CBC뉴스,"[코로나19 발생현황] 10월 2일 0시 기준, 신규 확진자 2,248명",2021-10-03,http://www.cbci.co.kr/news/articleView.html?idxno=419703,해외 코로나 현황
쿠키뉴스,코로나19 신규 확진 2486명… 수도권 76.7%,2021-10-02,http://www.kukinews.com/newsView/kuk202110010050,해외 코로나 현황
뉴스1,[그래픽] 코로나19 확진자 지역별 현황(30일),2021-10-01,https://www.news1.kr/photos/view/?4993877,해외 코로나 현황
노컷뉴스,코로나19 신규확진 2885명·역대 2번째…엿새째 요일 '최다 경신'(종합),2021-09-30,https://www.nocutnews.co.kr/news/5631227,해외 코로나 현황
