영화댓글
1920년영화라니.. 말로 할 수 없는 그런기분..
"사랑에 속기 싫고 돈에 울기 싫은 현대 남자들의 욕망, 그 서사의 오리지널을 찾아서"
"구두를 삶아 먹고, 빵+포크로 춤을 추고dinner roll dance. 페이소스가 덕지덕지. 엔딩에 조지아와의 긴 키스씬이 있었고, 조지아와 사귀던 때라 연기 아닌 진심이었지만, 헤어진 이후 1942년 재상영 때 씬 삭제. - 2012.12.09. / 2021.05.09. 다시 봄."
"따뜻한 커피와 수프 한 그릇 그리고 로맨스, 삶의 행복을 위해 무엇이 더 필요하리. 시대가 아무리 변해도, 영화 기술이 아무리 발전해도, 황금처럼 영원히 빛나는 채플린의 천재적인 코미디 감각과 무구한 감성. 구두 먹방신, 빵과 포크를 이용한 테이블 댄스신 등은 그저 감탄을 자아낼 뿐."
재밌고 웃기고 아름답다
황제의 위엄 그의 움직임은 우습기를 고사하고 실로 경이로우며 위대하다
웃음과 생각의 시간을 가지게 해두는 최고의 영화
12.01.25.진짜 내 인생 채플린의 최고 역작. 이건 최고야.다시 보고 또 보자. 이런 영화는 둘도 없을 것이야!
채플린 최고 걸작들보단 좀 아래.
지금 봐도 재밌고 당대 현실을 웃프게 표현하는 것도 대단하다
찰리채플린 ...  말해뭐해...
"김씨표류기는 보고나면 짜장면이 먹고싶어지고, 이영화는 구두가 먹어싶어지네..."
집떨어지는 장면이 가장 기억에 남는다
지금까지도 명작이다..대단하네..
90년전에 이런 영화를 만들수 있다니 역시 찰리 채플린
"인간은 생각이 짧을수록 많이 지껄여대고, 패배했을 때가 아니라 포기 했을 때 끝나는 존재이다. 그런 면에서 무성영화의 챨리채플린은 뛰어난 감독이자 배우이다."
너무나 행복한 결말은 채플린과 안 맞는거 아닌가?
"어린아이 같은 영혼의 순수함, 모두를 취하게 하는"
1점을 줘야하는 이유는 누군가 알것이다...
찰리 채플린의 진가를 알 수 있는 무려(?) 1925년작 흑백영화. 기발한 슬랩스틱 유머와 해피한 로맨스까지 지금봐도 흠 잡을데 없다.
재미있어용~!!짱임
전 이사람을 오늘 처음알았는데 영화 재밌어요!!!!
"시민케인, 시계태엽오렌지..이딴거 명작이래서 보구..거 보란사람이나 감독 죽여버리고 싶었는데..그런 시간낭비하게 만드는 똥같은 것들에 비하면..이런 영화..얼마나 몰입되고 재밌고 유쾌하고 의미있는 명작인가?"
말이필요없다#찰리채플린 쪼아여♥♡
채플린은 천재입니다.
못 발라먹는 장면이 기억에 남네요. 2007.11.18
유쾌하고 감동적이다.
"모던 타임즈가 역작이었다면, 골드 러쉬는 수작이다. 찰리 채플린의 코미디를 가장 뛰어나게 보여준 수작."
"내가 아무리 찰리채플린 팬이지만 아무리 봐도봐도 정말 감동적이고 재밌고 웃기고 짠하고 매력있고 ...정말 천재 맞는 것 같다. 출연, 감독, 음악작곡, 노래, 편집, 시나리오, 스토리 모두 직접 했다고 한다."
"영원한 코미디의 거장, 찰리 채플린"
"이 작품이  80년 더 된 작품이란 말인가? 결코 가볍지 않고, 장면마다 숨결이 느껴진다. 구두 먹는 장면, 집 무너지는 장면, 식탁에서 손으로 탭댄스 묘사하는 장면, 연애의 상처와 회복. 다 어디서 본 장면들이다. 이 영화를 모두들 차용했기 때문이다"
20세기 초에 이런 영화가 나왔다니 믿을 수 없다... 지금 봐도 이렇게 웃긴데 당시엔 얼마나 더 웃겼을까ㅋㅋ 역시 찰리 채플린은 천재다.
정식으로 첫관람한 찰리 채플린의 영화라서 그런지 더 재밌게 봤습니다.
집떨어지는거 웃기네 ㅋㅋ
"이건뭐, 세월이 흘러도 흠잡을 때가 없네요"
롤빵씬은 지금봐도 가슴을 들썩이게 한다.
씁쓸함 속에 피어나는 웃음...
감독에 배우 그것도 주연!.......
말이필요없다.
역시 찰리채플린  웃을수밖에 없지만 그의 영화는 수작이다
채플린의 고전영화는 다 재미있는것 같다.
이 영화 평점이 너무 낮음. 최소 9점은 돼야하는데.
도데체 이런 영화를 평점 2~5점 주는 개쵸딩들은 누군가??
블랙코미디의 진수
블랙 코미디가 할 수 있는 그 모든것
한 시간을 이렇게 꽉 채울 수가 없다
찰리 채플린의 연기에 깜짝놀라다!!!
이영화가 윤봉길의사 의거 7년전 영화라니 신기하고 재미있네요 ^^
구십여년의 지난 세월이 무색할 정도로 흠잡을 때가 없는 명작.
어떻게 찰리 채플린의 연기는 웃기면서도 짠할까. 이건 진짜 타고난 것 아닐까?
